Ветка,Название станции,Удаленность от центра
8,Мичуринский проспект,20.22
8,Раменки,17.88
8,Ломоносовский проспект,15.03
8,Минская,15.299999999999999
8,Парк Победы,12.15
8,Деловой центр,8.6
9,Алтуфьево,17.630000000000003
9,Бибирево,14.510000000000002
9,Отрадное,12.67
9,Владыкино,12.16
9,Петровско-Разумовская,13.100000000000001
9,Тимирязевская,11.01
9,Дмитровская,9.54
9,Савёловская,7.090000000000001
9,Менделеевская,5.2
9,Цветной бульвар,1.8399999999999999
9,Чеховская,2.59
9,Боровицкая,1.6099999999999999
9,Полянка,1.9900000000000002
9,Серпуховская,2.94
9,Тульская,4.62
9,Нагатинская,7.16
9,Нагорная,9.2
9,Нахимовский проспект,10.35
9,Севастопольская,12.31
9,Чертановская,12.76
9,Южная,14.63
9,Пражская,15.65
9,Улица академика Янгеля,17.93
9,Аннино,19.439999999999998
9,Бульвар Дмитрия Донского,22.89
10,Селигерская,18.67
10,Верхние Лихоборы,16.29
10,Окружная,13.96
10,Петровско-Разумовская,13.100000000000001
10,Фонвизинская,10.33
10,Бутырская,7.8100000000000005
10,Марьина Роща,4.63
10,Достоевская,3.38
10,Трубная,1.68
10,Сретенский бульвар,3.17
10,Чкаловская,4.06
10,Римская,6.87
10,Крестьянская застава,6.87
10,Дубровка,8.98
10,Кожуховская,11.24
10,Печатники,16.96
10,Волжская,19.66
10,Люблино,21.89
10,Братиславская,22.220000000000002
10,Марьино,22.84
10,Борисово,24.310000000000002
10,Шипиловская,25.53
10,Зябликово,26.57
11,Деловой центр,8.59
11,Шелепиха,9.82
11,Мнёвники,15.7
11,Народное Ополчение,16.74
11,Хорошёвская,12.42
11,ЦСКА,12.07
11,Петровский парк,10.17
11,Савёловская,7.02
12,Каширская,12.590000000000002
12,Варшавская,10.040000000000001
12,Каховская,12.45
13,Битцевский парк,21.73
13,Лесопарковая,21.61
13,Улица Старокачаловская,22.919999999999998
13,Улица Скобелевская,27.200000000000003
13,Бульвар Адмирала Ушакова,28.62
13,Улица Горчакова,30.23
13,Бунинская аллея,32.01
14,Электрозаводская,11.15
14,Лефортово,9.66
14,Авиамоторная,9.73
14,Нижегородская,12.85
14,Стахановская,15.870000000000001
14,Окская,19.62
14,Юго-Восточная,24.75
14,Косино,28.060000000000002
14,Улица Дмитриевского,30.240000000000002
14,Лухмановская,32.519999999999996
14,Некрасовка,35.79
